year,total_companies
1863,3
1871,6
1872,6
1873,9
1874,3
1878,3
1879,3
1880,3
1882,3
1883,3
1884,3
1885,3
1886,9
1888,3
1891,3
1892,3
1895,6
1897,6
1899,15
1900,33
1901,54
1902,9
1903,21
1904,21
1905,87
1906,66
1907,75
1908,63
1909,33
1910,57
1911,63
1912,51
1913,129
1914,48
1915,36
1916,69
1917,114
1918,204
1919,489
1920,645
1921,303
1922,207
1923,213
1924,210
1925,177
1926,207
1927,189
1928,285
1929,351
1930,333
1931,468
1932,330
1933,441
1934,492
1935,645
1936,483
1937,504
1938,450
1939,537
1940,630
1941,825
1942,954
1943,1269
1944,744
1945,1326
1946,2508
1947,2280
1948,2325
1949,2514
1950,1512
1951,2055
1952,831
1953,768
1954,831
1955,849
1956,723
1957,570
1958,729
1959,888
1960,1110
1961,960
1962,960
1963,801
1964,849
1965,948
1966,738
1967,762
1968,846
1969,951
1970,1299
1971,1749
1972,2103
1973,2724
1974,2823
1975,2199
1976,2004
1977,1977
1978,2550
1979,3546
1980,4749
1981,7167
1982,9237
1983,8310
1984,9729
1985,10752
1986,10881
1987,11241
1988,13569
1989,13989
1990,14442
1991,15345
1992,16893
1993,17163
1994,25569
1995,35313
1996,27786
1997,23796
1998,16992
1999,20367
2000,26667
2001,15081
2002,14919
2003,19725
2004,24225
2005,29634
2006,27549
2007,36732
2008,41961
2009,32157
2010,48945
2011,51720
2012,51744
2013,48537
2014,36669
2015,44052
2016,51084
2017,57066
2018,65454
2019,71055
2020,77385
2021,92634
2022,95847
2023,87216
2024,90663
2025,43884
