year,principal_business_activity,total
2016,Business Services,30624
2016,"Community, personal and Social Services",2481
2016,Construction,2442
2016,"Manufacturing (Metals and Chemicals, and products thereof)",1554
2016,Trading,3534
2017,Business Services,32976
2017,"Community, personal and Social Services",4443
2017,Construction,2442
2017,"Manufacturing (Metals and Chemicals, and products thereof)",1614
2017,Trading,3966
2018,Business Services,34401
2018,"Community, personal and Social Services",6171
2018,Construction,3009
2018,"Manufacturing (Metals and Chemicals, and products thereof)",2130
2018,Trading,4899
2019,Business Services,23757
2019,"Community, personal and Social Services",9171
2019,Construction,3777
2019,"Manufacturing (Metals and Chemicals, and products thereof)",3846
2019,Trading,7389
2020,Business Services,21375
2020,"Community, personal and Social Services",9507
2020,Construction,3771
2020,"Manufacturing (Metals and Chemicals, and products thereof)",5352
2020,Trading,8367
2021,Business Services,21897
2021,"Community, personal and Social Services",12579
2021,Construction,4839
2021,"Manufacturing (Metals and Chemicals, and products thereof)",6987
2021,Trading,9051
2022,Business Services,21189
2022,"Community, personal and Social Services",12930
2022,Construction,5538
2022,"Manufacturing (Metals and Chemicals, and products thereof)",7008
2022,Trading,10059
2023,Business Services,12084
2023,"Community, personal and Social Services",22056
2023,Construction,5262
2023,"Manufacturing (Metals and Chemicals, and products thereof)",4923
2023,Trading,12699
2024,Business Services,12141
2024,"Community, personal and Social Services",23613
2024,Construction,5601
2024,"Manufacturing (Metals and Chemicals, and products thereof)",4791
2024,Trading,13530
2025,Business Services,5535
2025,"Community, personal and Social Services",11529
2025,Construction,2787
2025,"Manufacturing (Metals and Chemicals, and products thereof)",2166
2025,Trading,7179
